
x:0.000000 0.100000 0.200000 0.300000 0.400000 0.500000 0.600000 0.700000 0.800000 0.900000 1.000000 1.100000 1.200000 1.300000 1.400000 1.500000 1.600000 1.700000 1.800000 1.900000 2.000000 
y:0.500000 0.525000 0.552563 0.583095 0.617095 0.655176 0.698101 0.746836 0.802612 0.867031 0.942205 1.030980 1.137272 1.266610 1.427041 1.630685 1.896599 2.256307 2.765400 3.530143 4.776334 


x:0.000000 0.100000 0.200000 0.300000 0.400000 0.500000 0.600000 0.700000 0.800000 0.900000 1.000000 1.100000 1.200000 1.300000 1.400000 1.500000 1.600000 1.700000 1.800000 1.900000 2.000000 
y:0.500000 0.526281 0.555474 0.588091 0.624770 0.666319 0.713774 0.768487 0.832257 0.907527 0.997701 1.107669 1.244704 1.420118 1.652465 1.974380 2.448760 3.213219 4.630754 7.998076 21.557334 


x:0.000000 0.100000 0.200000 0.300000 0.400000 0.500000 0.600000 0.700000 0.800000 0.900000 1.000000 1.100000 1.200000 1.300000 1.400000 1.500000 1.600000 1.700000 1.800000 1.900000 2.000000 
y:0.500000 0.526316 0.555556 0.588235 0.625000 0.666667 0.714286 0.769231 0.833333 0.909090 0.999999 1.111109 1.249996 1.428564 1.666650 1.999958 2.499875 3.332831 4.996598 9.929008 81.991698 

